objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587739707405763061,4646,40,3,80,501,3,205.40114133,28.37768949,23.402142,21.396158,20.861057,20.600386,20.702326,0.804483,0.052994,0.048958,0.061738,0.296034
587739707405763062,4646,40,3,80,502,6,205.39938794,28.37887509,22.991791,21.77284,21.248636,21.029629,20.590635,0.484568,0.060293,0.053932,0.068294,0.195697
587739707405763066,4646,40,3,80,506,3,205.40134424,28.37891833,22.886658,22.03713,21.444004,21.171219,22.202843,0.56264,0.095092,0.085091,0.108397,0.899728
587739707405763067,4646,40,3,80,507,3,205.40330276,28.37714543,24.693949,22.88805,22.152866,21.557539,23.038801,1.181507,0.162865,0.126674,0.11902,0.813572
587739707405763072,4646,40,3,80,512,6,205.40303636,28.37853172,25.638195,24.07168,22.78813,22.783499,22.863354,0.763802,0.391555,0.204387,0.31577,0.775728
587739707405764753,4646,40,3,80,2193,6,205.39643687,28.37585986,22.19924,21.258709,20.937771,20.613878,20.568415,0.259395,0.042903,0.045285,0.052572,0.208489
587739707405763064,4646,40,3,80,504,3,205.40413768,28.38176799,27.432976,21.358866,18.823586,22.6227,21.30022,1.487455,0.234223,0.075794,1.796831,2.229285
587739707405763068,4646,40,3,80,508,3,205.40178627,28.38049749,23.740374,22.447092,21.928225,21.430897,21.154047,1.076766,0.136175,0.131086,0.135702,0.439983
587739707405764385,4646,40,3,80,1825,3,205.40485523,28.37574905,21.152739,19.873285,19.560375,19.349474,19.308594,0.125384,0.017362,0.018109,0.022286,0.083163
587739707405764386,4646,40,3,80,1826,3,205.40602639,28.37697084,22.565208,21.233591,20.699848,20.48868,20.280081,0.357944,0.041802,0.037813,0.048118,0.166452
587739707405764387,4646,40,3,80,1827,6,205.40555338,28.37571128,24.226009,22.145805,21.601131,21.166681,22.501383,1.019099,0.089631,0.07621,0.078227,0.716907
587739707405764752,4646,40,3,80,2192,6,205.39605002,28.37766213,22.056112,21.393635,20.907019,20.632551,20.147568,0.239754,0.048629,0.045653,0.055507,0.150116
587739707405764754,4646,40,3,80,2194,3,205.39804492,28.38158655,21.724688,20.849638,20.464767,20.171989,20.351503,0.198065,0.03501,0.0357,0.042565,0.201745
587739707405765914,4646,40,3,80,3354,6,205.39656764,28.37372866,26.223703,23.82419,22.845707,22.338039,21.90383,0.469646,0.318795,0.207051,0.208803,0.540869
587739707405763059,4646,40,3,80,499,6,205.40271633,28.38260907,16.324976,15.132909,14.550641,14.382481,14.303541,6.289916E-3,3.578356E-3,3.497165E-3,3.787921E-3,4.286186E-3
587739707405763060,4646,40,3,80,500,6,205.4032465,28.38254325,19.784428,25.120804,24.810942,18.182404,22.831848,0.059674,3.062031,2.87178,0.013934,0.744871
587739707405763063,4646,40,3,80,503,3,205.40073744,28.38439211,23.542072,21.946924,21.189936,20.538893,21.076401,1.07354,0.099931,0.078703,0.070784,0.464832
587739707405763065,4646,40,3,80,505,6,205.40167502,28.3847234,23.632217,22.042578,21.708784,21.349117,21.778299,0.739215,0.072819,0.079161,0.088997,0.499002
587739707405763069,4646,40,3,80,509,3,205.40408676,28.38439578,26.153172,21.968309,21.228064,20.692392,21.614571,1.242194,0.156748,0.124932,0.124466,1.125197
587739707405763070,4646,40,3,80,510,3,205.3983499,28.38448948,24.161613,22.612263,21.630589,21.516754,20.971687,1.319087,0.156698,0.099146,0.143275,0.366962
587739707405763071,4646,40,3,80,511,6,205.39951662,28.38391634,25.535099,23.586187,22.608841,21.972198,21.022636,0.842592,0.278407,0.179507,0.163751,0.301972
587739707405764177,4646,40,3,80,1617,3,205.39110924,28.37857311,19.976242,19.108702,18.865952,18.774481,18.830002,0.049505,0.010528,0.01126,0.014475,0.05525
587739707405764229,4646,40,3,80,1669,6,205.39905009,28.36943939,21.386307,20.275677,19.902445,19.761427,19.948858,0.126709,0.020353,0.019851,0.025149,0.114236
587739707405764241,4646,40,3,80,1681,6,205.39772244,28.36991053,25.425102,22.739868,22.022787,21.901464,21.694231,0.969464,0.148167,0.116745,0.166603,0.541694
587739707405764279,4646,40,3,80,1719,6,205.39406818,28.37178373,20.280973,19.326515,19.09421,19.002003,19.006504,0.055132,0.011591,0.012111,0.015218,0.05286
587739707405764403,4646,40,3,80,1843,6,205.40708627,28.38004926,24.922659,21.544472,21.088242,20.905582,20.801598,1.098814,0.051524,0.048933,0.064023,0.24461
587739707405764404,4646,40,3,80,1844,6,205.4064472,28.3826867,23.328299,21.690218,21.311502,21.110121,21.204077,0.623315,0.058474,0.059042,0.076904,0.341609
587739707405765553,4646,40,3,80,2993,6,205.39179781,28.37618712,23.777296,23.027878,22.055401,21.569405,22.655495,0.990355,0.200942,0.136215,0.135505,0.919737
587739707405765558,4646,40,3,80,2998,6,205.39453943,28.38111717,22.464191,21.183504,20.871908,20.606436,19.721972,0.30764,0.038695,0.040768,0.049205,0.095258
587739707405765615,4646,40,3,80,3055,6,205.40820797,28.37504849,23.266043,22.914091,23.575787,22.30723,21.861338,0.575602,0.154178,0.367899,0.203264,0.527336
587739707405763043,4646,40,3,80,483,6,205.40023054,28.38699112,19.69194,18.653397,18.195906,17.996983,17.937313,0.03621,7.958126E-3,7.371353E-3,8.307095E-3,0.022973
587739707405763044,4646,40,3,80,484,6,205.40182714,28.38710049,22.934862,22.572363,21.981598,21.725155,21.347662,0.444124,0.116458,0.09905,0.123591,0.366529
587739707405763160,4646,40,3,80,600,6,205.40859947,28.37136802,18.186489,16.762436,16.163572,15.979851,15.900763,0.014848,4.177721E-3,3.957191E-3,4.445332E-3,6.98212E-3
587739707405763172,4646,40,3,80,612,6,205.40543547,28.3690631,20.083099,19.157936,18.909281,18.818851,18.798615,0.046853,0.01031,0.010566,0.013019,0.043639
587739707405763179,4646,40,3,80,619,6,205.41136398,28.37532353,20.479853,19.515888,19.272129,19.151356,19.13233,0.063186,0.012478,0.01317,0.016313,0.058029
587739707405764167,4646,40,3,80,1607,6,205.3941703,28.38592023,23.280243,22.014946,21.569735,21.422239,21.38266,0.583215,0.073155,0.070247,0.094626,0.374196
587739707405764178,4646,40,3,80,1618,3,205.39122229,28.3797582,22.588619,21.982792,21.239508,20.77644,20.976156,0.433619,0.088678,0.070049,0.073684,0.364625
587739707405764179,4646,40,3,80,1619,6,205.39018147,28.381699,23.821009,22.43347,21.947495,21.600327,22.270025,0.835216,0.102986,0.096401,0.110262,0.65726
587739707405764180,4646,40,3,80,1620,6,205.39019206,28.38091948,24.585056,22.895248,22.287476,21.78367,21.504425,1.085869,0.151768,0.128758,0.129279,0.410639
587739707405764224,4646,40,3,80,1664,6,205.3913713,28.37292869,20.485302,19.58013,19.336472,19.221853,19.205343,0.062499,0.014162,0.015162,0.018882,0.060563
587739707405764227,4646,40,3,80,1667,6,205.39505689,28.36920859,20.470119,19.656687,19.430067,19.329292,19.277233,0.061678,0.013683,0.014391,0.018157,0.063886
587739707405764230,4646,40,3,80,1670,6,205.39969502,28.36709729,21.688381,20.611609,20.262714,20.096716,20.432516,0.160443,0.025297,0.025373,0.031923,0.170543
587739707405764231,4646,40,3,80,1671,6,205.39851034,28.3681852,21.999231,20.793261,20.369425,20.168198,20.1831,0.216797,0.029528,0.028494,0.035679,0.145572
587739707405764232,4646,40,3,80,1672,6,205.39322204,28.36947018,21.805805,20.815559,20.480654,20.3864,20.214134,0.174909,0.029138,0.029729,0.040269,0.141037
587739707405764233,4646,40,3,80,1673,6,205.39957489,28.36877797,22.308977,20.96357,20.622442,20.382551,20.267015,0.271698,0.032683,0.033761,0.040696,0.149654
587739707405764236,4646,40,3,80,1676,6,205.40030653,28.36913495,24.69702,23.007929,22.19631,21.535473,21.721462,1.135395,0.175307,0.126681,0.111218,0.504679
587739707405764237,4646,40,3,80,1677,6,205.40037794,28.36818137,24.993353,23.199806,22.211594,21.756708,21.363108,1.040866,0.195926,0.121195,0.126817,0.368549
587739707405764238,4646,40,3,80,1678,3,205.39645284,28.36776293,23.393423,23.165709,21.991087,21.226776,20.657595,0.839676,0.257715,0.136999,0.112771,0.281359
587739707405764242,4646,40,3,80,1682,6,205.39105855,28.37083245,23.884554,23.49111,22.373283,22.193584,21.965168,0.906108,0.255863,0.143341,0.191464,0.581405
587739707405764399,4646,40,3,80,1839,6,205.41010835,28.38216006,19.914429,18.992071,18.721199,18.609306,18.618967,0.042282,9.556645E-3,9.574073E-3,0.011621,0.038525
587739707405764400,4646,40,3,80,1840,6,205.40773648,28.38143772,21.074512,20.295898,20.004545,19.835796,19.779957,0.097795,0.019974,0.021007,0.026197,0.097772
587739707405764401,4646,40,3,80,1841,6,205.4081361,28.38309402,21.29785,20.018894,19.691647,19.607935,19.666662,0.125382,0.017666,0.017921,0.024011,0.0981
587739707405764402,4646,40,3,80,1842,6,205.40847263,28.38028363,26.336685,22.692425,21.347038,19.968103,19.244854,0.448968,0.134497,0.06118,0.030283,0.06502
587739707405764405,4646,40,3,80,1845,3,205.4071243,28.38263507,24.271786,22.09655,21.622908,20.898445,21.824162,1.428593,0.106929,0.103236,0.084989,0.726058
587739707405764406,4646,40,3,80,1846,6,205.4068514,28.3859078,24.221451,22.402187,21.918777,21.516073,21.230694,1.005152,0.100427,0.093094,0.102295,0.329875
587739707405764407,4646,40,3,80,1847,6,205.40720914,28.38456654,25.00156,22.418259,21.862934,21.478287,20.849333,1.110428,0.1062,0.097169,0.109665,0.264542
587739707405764408,4646,40,3,80,1848,6,205.41086932,28.3813555,24.282858,23.844109,22.468899,22.362116,22.869305,1.018657,0.325363,0.149186,0.213342,0.744799
587739707405765537,4646,40,3,80,2977,6,205.39187702,28.38472447,22.891888,22.081169,21.394011,21.094543,20.848063,0.431498,0.078357,0.061726,0.073363,0.247058
587739707405765538,4646,40,3,80,2978,6,205.39128264,28.3834847,24.365307,22.50918,21.768288,21.531874,21.251064,1.163626,0.118537,0.092103,0.117834,0.386594
587739707405765624,4646,40,3,80,3064,6,205.41111574,28.37971025,24.338844,22.898439,22.272486,21.897491,22.052454,1.108018,0.159749,0.134232,0.15327,0.632277
587739707405765906,4646,40,3,80,3346,3,205.39401346,28.38356587,24.372143,23.058403,22.32328,21.285151,20.639824,1.352456,0.223173,0.173598,0.113157,0.264825
587739707405765910,4646,40,3,80,3350,3,205.39573696,28.38489633,25.25198,24.34556,22.456167,22.804806,22.688845,1.123488,0.531953,0.180652,0.381679,0.90688
587739707405762944,4646,40,3,80,384,6,205.38833094,28.38577749,17.064363,15.591115,14.870656,14.549752,14.44725,8.497357E-3,3.651556E-3,3.541228E-3,3.924748E-3,4.40825E-3
587739707405762951,4646,40,3,80,391,6,205.38886751,28.38871974,21.508886,20.562571,20.16551,20.004595,19.952158,0.140895,0.025178,0.024213,0.030812,0.117201
587739707405762953,4646,40,3,80,393,6,205.38957569,28.38948901,22.072121,20.847752,20.514442,20.302679,20.273954,0.219079,0.029407,0.030605,0.037485,0.149093
587739707405762962,4646,40,3,80,402,6,205.38529159,28.38598525,25.279211,22.743313,22.178131,21.410538,20.935331,0.987885,0.138633,0.126529,0.102067,0.280299
587739707405762985,4646,40,3,80,425,6,205.38831831,28.3666244,20.791832,19.890362,19.651449,19.500645,19.445009,0.078847,0.015793,0.016647,0.020563,0.074028
587739707405762996,4646,40,3,80,436,6,205.38949886,28.36704764,23.631281,23.301569,22.77647,22.528105,22.132927,0.758235,0.21172,0.196325,0.245305,0.615642
587739707405763116,4646,40,3,80,556,3,205.39712814,28.36381681,19.777182,18.839199,18.580198,18.492521,18.465673,0.041351,8.961172E-3,9.28958E-3,0.011557,0.038109
587739707405763117,4646,40,3,80,557,6,205.39282366,28.36313635,19.983593,19.074781,18.80072,18.688879,18.767681,0.044243,9.769212E-3,9.971952E-3,0.012052,0.042786
587739707405763121,4646,40,3,80,561,6,205.39869604,28.36186587,20.523329,19.580378,19.303232,19.173452,19.176327,0.065715,0.012961,0.013499,0.01667,0.060798
587739707405763127,4646,40,3,80,567,6,205.39709878,28.36245555,20.915453,19.998423,19.710545,19.531013,19.46559,0.092951,0.01734,0.018344,0.022665,0.082547
587739707405763161,4646,40,3,80,601,6,205.40488786,28.36487357,19.706955,18.719107,18.369516,18.228697,18.160357,0.036972,8.229841E-3,8.044621E-3,9.421749E-3,0.027254
587739707405763165,4646,40,3,80,605,6,205.4128307,28.37569105,19.963398,19.028038,18.754887,18.633448,18.654158,0.044578,9.55513E-3,9.815766E-3,0.011873,0.040055
587739707405763167,4646,40,3,80,607,6,205.40369672,28.36443871,19.927797,18.996435,18.750856,18.640108,18.661232,0.042713,9.369539E-3,9.727967E-3,0.011754,0.039712
587739707405763171,4646,40,3,80,611,6,205.41426736,28.37769253,19.879835,18.969257,18.686659,18.565878,18.486597,0.047053,9.913899E-3,0.01028,0.012824,0.041311
587739707405763175,4646,40,3,80,615,6,205.41124446,28.37069445,20.243553,19.290621,19.001747,18.903419,18.881433,0.062476,0.012129,0.012598,0.01634,0.058534
587739707405763178,4646,40,3,80,618,3,205.40635993,28.3625219,19.719669,18.580538,17.727137,17.274094,17.071125,0.082395,0.012408,9.066188E-3,9.455538E-3,0.028406
587739707405764111,4646,40,3,80,1551,6,205.38704331,28.38215754,20.608133,19.564169,19.180792,18.983761,19.008026,0.068557,0.012788,0.012402,0.014369,0.051246
587739707405764112,4646,40,3,80,1552,6,205.38568603,28.38139715,21.890413,20.863882,20.481339,20.251249,20.370476,0.186786,0.029982,0.029945,0.035793,0.159979
587739707405764113,4646,40,3,80,1553,6,205.38394203,28.37966762,22.562708,21.071119,20.723486,20.54738,20.797838,0.327073,0.035147,0.036044,0.046196,0.235268
587739707405764114,4646,40,3,80,1554,6,205.38743232,28.38148658,23.036682,21.539461,21.023346,20.863094,21.109648,0.571639,0.05953,0.055835,0.072929,0.368358
587739707405764115,4646,40,3,80,1555,3,205.38533492,28.38027675,21.912394,20.175745,19.385256,19.127459,19.047941,0.371785,0.029896,0.023618,0.029673,0.107254
587739707405764164,4646,40,3,80,1604,6,205.39199845,28.38767805,20.254866,19.291187,19.053509,18.907797,18.856079,0.053146,0.011005,0.011522,0.013812,0.045577
587739707405764165,4646,40,3,80,1605,6,205.39133393,28.38719023,22.438261,21.065388,20.698511,20.53907,20.784626,0.305406,0.036271,0.037058,0.047633,0.238008
587739707405764166,4646,40,3,80,1606,6,205.39380843,28.38657336,22.99048,21.383144,21.039602,20.751543,20.587044,0.472921,0.045316,0.046419,0.054884,0.197851
587739707405764195,4646,40,3,80,1635,6,205.39802747,28.38986552,20.052956,19.043146,18.769611,18.649012,18.692699,0.046236,9.65248E-3,9.819584E-3,0.011844,0.040516
587739707405764198,4646,40,3,80,1638,6,205.39860261,28.39115721,24.276712,22.931435,21.698303,20.016211,19.315628,1.065037,0.159419,0.081564,0.03104,0.067932
587739707405764199,4646,40,3,80,1639,6,205.39710494,28.3925457,21.521561,20.430613,20.172501,19.989983,19.895576,0.158007,0.024408,0.026515,0.034015,0.125773
587739707405764201,4646,40,3,80,1641,6,205.39500269,28.39232655,23.410889,21.120884,20.814249,20.62442,21.232811,0.639079,0.037632,0.038777,0.048701,0.330098
587739707405764203,4646,40,3,80,1643,3,205.3984866,28.39205492,22.866066,21.625196,21.218666,21.124332,20.579159,0.538325,0.065861,0.066965,0.097287,0.252068
587739707405764205,4646,40,3,80,1645,6,205.39998572,28.3902148,23.03734,22.013575,21.454096,21.345795,20.891657,0.475669,0.072979,0.063455,0.08853,0.250224
587739707405764208,4646,40,3,80,1648,3,205.40131583,28.39238776,23.332073,22.244146,21.603752,21.358767,20.982899,0.714933,0.104952,0.086922,0.111594,0.331594
587739707405764211,4646,40,3,80,1651,6,205.39381548,28.39101593,23.62104,22.631695,22.027855,21.929293,22.772785,0.756464,0.126767,0.107666,0.155232,0.785515
587739707405764213,4646,40,3,80,1653,6,205.40015427,28.39120195,25.617901,23.632313,22.704325,22.170122,22.103863,0.840389,0.309101,0.208002,0.208121,0.689986
587739707405764226,4646,40,3,80,1666,6,205.39090837,28.36940008,20.349255,19.386341,19.131159,19.025723,19.013138,0.056942,0.011708,0.012027,0.014898,0.051817
587739707405764228,4646,40,3,80,1668,6,205.39425982,28.36750883,21.121023,20.103331,19.888636,19.719553,19.819204,0.100046,0.017854,0.019301,0.023771,0.099591
587739707405764234,4646,40,3,80,1674,6,205.398949,28.3666307,22.064724,21.005228,20.645723,20.435688,20.518501,0.220865,0.034114,0.034263,0.042424,0.187064
587739707405764235,4646,40,3,80,1675,6,205.38971994,28.37121916,22.678352,21.340845,20.956938,20.712984,20.632948,0.356139,0.042751,0.042549,0.052006,0.200834
587739707405764239,4646,40,3,80,1679,3,205.39256002,28.36882256,24.336031,22.399223,21.456533,21.536917,20.952833,1.347437,0.127528,0.083709,0.144372,0.348892
587739707405764240,4646,40,3,80,1680,6,205.39557809,28.36727539,25.154226,23.231346,22.248304,21.868967,21.989456,0.987472,0.200274,0.124559,0.1393,0.568638
587739707405764344,4646,40,3,80,1784,6,205.40858233,28.38845839,20.355082,19.347961,19.12665,19.003546,18.933666,0.057296,0.011565,0.012008,0.014814,0.049418
587739707405764346,4646,40,3,80,1786,6,205.41178788,28.38926782,20.667921,19.557545,19.326948,19.209414,19.290138,0.07382,0.013209,0.013852,0.017578,0.069047
587739707405764349,4646,40,3,80,1789,6,205.40496326,28.3884142,20.882938,19.812727,19.513376,19.407314,19.432869,0.087126,0.015112,0.015607,0.020266,0.078021
587739707405764352,4646,40,3,80,1792,6,205.40942747,28.39008087,21.62932,20.482738,20.085781,19.860615,20.043737,0.149604,0.02319,0.022115,0.026767,0.122832
587739707405764354,4646,40,3,80,1794,6,205.41131823,28.38924625,24.046799,21.250824,20.681801,20.485985,20.533173,0.972775,0.044987,0.036902,0.045858,0.193313
587739707405764355,4646,40,3,80,1795,6,205.40494588,28.39162269,21.441568,20.609308,20.246616,20.111805,19.929695,0.132443,0.025281,0.025564,0.033847,0.116296
587739707405764357,4646,40,3,80,1797,6,205.41268966,28.38791489,21.723991,20.72683,20.392849,20.17832,20.26671,0.163886,0.027,0.027744,0.034382,0.149358
587739707405764363,4646,40,3,80,1803,6,205.40399997,28.39057847,22.278118,21.288864,20.927252,20.659929,20.778183,0.257613,0.041996,0.041842,0.050791,0.231276
587739707405764365,4646,40,3,80,1805,6,205.40390892,28.38978588,22.962851,21.618551,21.224525,20.953104,20.971127,0.451655,0.053993,0.052814,0.064769,0.27203
587739707405764409,4646,40,3,80,1849,6,205.4078965,28.38621793,24.993187,23.886711,22.564215,22.32225,22.294392,1.031274,0.335393,0.161201,0.205645,0.665092
587739707405764440,4646,40,3,80,1880,6,205.41049423,28.3852318,21.513943,20.527262,20.258114,20.095621,19.970043,0.137658,0.023803,0.024992,0.031813,0.114685
587739707405764441,4646,40,3,80,1881,6,205.40951527,28.3850091,25.360315,23.729631,22.435534,22.175901,21.319403,1.029475,0.348828,0.170808,0.218086,0.421976
587739707405764491,4646,40,3,80,1931,6,205.41534449,28.38195922,21.398037,20.386587,20.124092,19.937561,19.845768,0.125461,0.021665,0.022704,0.028122,0.103044
587739707405764492,4646,40,3,80,1932,6,205.41390986,28.38386454,22.001431,21.078766,20.695686,20.482391,20.525278,0.212383,0.036171,0.035608,0.04489,0.192394
587739707405764493,4646,40,3,80,1933,6,205.41663433,28.38229548,25.492462,23.08532,22.407925,21.836538,21.569586,0.820717,0.178324,0.141455,0.135438,0.433249
587739707405764494,4646,40,3,80,1934,6,205.41408867,28.38247119,24.096292,23.745695,23.04739,22.038042,22.196136,0.969889,0.303085,0.242179,0.1611,0.645759
587739707405765500,4646,40,3,80,2940,6,205.38504552,28.37278542,25.356503,22.632673,21.823925,21.669056,22.615389,0.891266,0.121197,0.087019,0.117317,0.731659
587739707405765502,4646,40,3,80,2942,6,205.38581055,28.3752069,23.241425,22.316004,21.740938,21.625921,21.550106,0.566773,0.093211,0.080957,0.112754,0.424134
587739707405765503,4646,40,3,80,2943,6,205.38451249,28.37494873,23.890614,22.785515,22.294352,21.756882,22.154835,0.880914,0.139546,0.131626,0.128568,0.6353
587739707405765508,4646,40,3,80,2948,6,205.38649573,28.37745115,22.873753,22.757919,22.163589,21.760641,21.675667,0.419091,0.134831,0.115859,0.126829,0.465227
587739707405765512,4646,40,3,80,2952,6,205.38809082,28.3790526,24.244135,22.589945,21.958691,21.44808,20.980452,1.003684,0.117503,0.09721,0.096739,0.26769
587739707405765515,4646,40,3,80,2955,6,205.38698642,28.37086856,22.568941,21.509319,21.061142,20.843319,21.141745,0.335528,0.049387,0.047219,0.059403,0.313775
587739707405765516,4646,40,3,80,2956,6,205.38745216,28.36903528,22.888168,21.747887,21.193005,21.009991,20.884296,0.436551,0.059825,0.052747,0.068931,0.256104
587739707405765518,4646,40,3,80,2958,6,205.38796558,28.37403739,22.554508,21.527485,21.078684,20.884726,21.058455,0.328324,0.050071,0.047766,0.061365,0.292067
587739707405765900,4646,40,3,80,3340,6,205.38779095,28.37573582,24.463821,23.351057,22.834061,21.972288,22.599504,1.077486,0.220266,0.205152,0.152676,0.728218
587739707405762831,4646,40,3,80,271,6,205.37596243,28.37119163,16.525667,14.517956,13.566306,15.852927,12.999716,7.353276E-3,3.932889E-3,4.507818E-3,0.014205,4.249034E-3
587739707405762835,4646,40,3,80,275,6,205.37944489,28.36779946,20.511192,19.63855,19.364008,19.257084,19.34008,0.063454,0.013341,0.013802,0.017189,0.066922
587739707405762837,4646,40,3,80,277,3,205.37609623,28.37322459,21.919861,20.621283,19.909536,22.556568,21.514309,0.441902,0.05146,0.054179,0.687048,1.075789
587739707405762839,4646,40,3,80,279,6,205.37714988,28.37276601,23.74184,23.43944,23.267513,22.330139,21.107166,0.812993,0.246706,0.316514,0.220119,0.30874
587739707405762840,4646,40,3,80,280,6,205.37797641,28.36940447,22.886415,23.193729,22.154066,21.886801,21.475246,0.456671,0.204893,0.123527,0.152563,0.424592
587739707405762841,4646,40,3,80,281,3,205.37424182,28.37532437,24.431984,23.022036,22.27103,21.353804,21.133993,1.258026,0.194995,0.150875,0.10721,0.362345
587739707405762844,4646,40,3,80,284,3,205.37997118,28.3714238,24.301828,24.790682,23.232393,21.568445,22.542271,1.650651,0.863277,0.471243,0.181169,1.201994
587739707405762845,4646,40,3,80,285,6,205.3790293,28.36919972,23.027525,24.497887,22.96101,23.217701,22.0949,0.473616,0.484732,0.230094,0.42669,0.602846
587739707405762846,4646,40,3,80,286,3,205.37418578,28.37424468,24.109297,25.276432,24.670433,21.676537,22.593052,1.767066,0.985607,1.179222,0.223143,1.495048
587739707405762907,4646,40,3,80,347,3,205.37752648,28.36458401,25.76264,22.396128,21.893177,21.071486,20.663967,1.24657,0.166716,0.165135,0.129526,0.373312
587739707405762928,4646,40,3,80,368,6,205.38058492,28.37623533,18.057753,16.691652,16.096621,15.853713,15.735512,0.013781,4.151019E-3,3.970765E-3,4.374882E-3,6.484951E-3
587739707405762929,4646,40,3,80,369,6,205.37935115,28.37484483,21.79818,20.485176,20.127546,19.873981,20.081312,0.178168,0.023009,0.023419,0.027501,0.129734
587739707405762945,4646,40,3,80,385,6,205.38250231,28.38727806,20.366537,19.430775,19.19059,19.052551,19.030684,0.057822,0.011854,0.012492,0.015197,0.052777
587739707405762946,4646,40,3,80,386,6,205.38076442,28.38945652,20.446066,19.482256,19.277647,19.15132,19.122299,0.060735,0.012391,0.013121,0.016141,0.056517
587739707405762947,4646,40,3,80,387,6,205.38701263,28.39280677,20.624105,19.677225,19.453415,19.332417,19.25112,0.069066,0.013897,0.014635,0.018254,0.06301
587739707405762948,4646,40,3,80,388,6,205.38080865,28.38374647,20.731489,19.795254,19.529884,19.40502,19.528028,0.075229,0.014896,0.015584,0.019476,0.079579
587739707405762949,4646,40,3,80,389,6,205.38899793,28.39283381,25.843596,22.099442,20.746712,19.378077,18.694361,0.656666,0.07866,0.037011,0.019003,0.040285
587739707405762950,4646,40,3,80,390,6,205.38262257,28.38425993,21.017338,20.060358,19.8085,19.636719,19.642063,0.096043,0.017467,0.018919,0.023471,0.090712
587739707405762952,4646,40,3,80,392,6,205.38000728,28.38417363,21.781757,20.753296,20.381985,20.245228,20.599342,0.178536,0.028774,0.029004,0.037827,0.20725
587739707405762954,4646,40,3,80,394,6,205.38315944,28.38939417,21.974098,21.002789,20.662245,20.448866,20.54077,0.202555,0.032988,0.034449,0.042828,0.190195
587739707405762955,4646,40,3,80,395,6,205.38015314,28.38350173,24.184473,21.587187,21.230307,20.958652,20.734692,0.988544,0.054031,0.055237,0.064816,0.219814
587739707405762956,4646,40,3,80,396,6,205.38938746,28.39526319,22.322172,21.588282,21.182512,20.966522,20.723656,0.268402,0.053307,0.05219,0.065946,0.221844
587739707405762957,4646,40,3,80,397,6,205.39011075,28.39337332,23.578199,21.640099,21.210716,20.976013,21.024778,0.747027,0.055435,0.0537,0.067187,0.289581
587739707405762958,4646,40,3,80,398,6,205.38872062,28.39500003,24.311647,21.976765,21.63142,21.127487,21.679871,1.031747,0.070424,0.074869,0.073822,0.466134
587739707405762959,4646,40,3,80,399,6,205.38403926,28.38629356,22.743599,21.87051,21.319416,21.112549,20.86941,0.394356,0.064844,0.058562,0.075198,0.254138
587739707405762960,4646,40,3,80,400,6,205.3880742,28.3939806,22.857292,22.116774,21.603415,21.227926,21.529842,0.424687,0.081483,0.074243,0.082983,0.430608
587739707405762961,4646,40,3,80,401,6,205.38933403,28.39110443,23.393669,21.920858,21.195473,21.08363,20.661238,0.813203,0.085677,0.065818,0.094705,0.273382
587739707405762963,4646,40,3,80,403,3,205.38199709,28.38551022,23.118895,22.163691,21.699114,21.310112,21.678177,0.671541,0.106545,0.105904,0.1221,0.648021
587739707405762964,4646,40,3,80,404,3,205.38765233,28.39066945,24.223436,22.681574,21.822605,21.444504,21.61293,1.318656,0.164297,0.11494,0.132642,0.602641
587739707405762965,4646,40,3,80,405,3,205.38367727,28.38829132,24.202328,22.888672,21.804047,21.608349,21.773767,1.222397,0.184405,0.106834,0.144311,0.633778
587739707405762966,4646,40,3,80,406,6,205.38959003,28.39029623,24.619179,23.479469,23.180428,22.52755,22.857565,1.084097,0.248323,0.275334,0.245407,0.742912
587739707405762982,4646,40,3,80,422,6,205.38636991,28.35954014,19.183643,17.581095,16.979713,16.78978,16.701044,0.026095,5.19337E-3,4.742846E-3,5.235601E-3,0.010311
587739707405762983,4646,40,3,80,423,6,205.38394058,28.36252703,20.647112,19.643225,19.368847,19.217136,19.241863,0.0709,0.013604,0.014087,0.0169,0.06223
587739707405762984,4646,40,3,80,424,3,205.38357077,28.36185755,20.471655,19.600712,19.268881,19.174435,19.271563,0.067707,0.013925,0.014073,0.018121,0.072782
587739707405762986,4646,40,3,80,426,6,205.38775925,28.35791845,20.895327,19.941029,19.552273,19.42049,19.395489,0.089951,0.01651,0.016221,0.020611,0.076233
587739707405762987,4646,40,3,80,427,3,205.38669692,28.36304776,23.485119,21.62236,20.185808,19.550604,19.324726,0.790032,0.059883,0.026885,0.024082,0.077341
587739707405762988,4646,40,3,80,428,6,205.38739842,28.3622436,22.100594,20.862377,20.516623,20.352602,20.359018,0.221883,0.030072,0.030477,0.038606,0.158527
587739707405762989,4646,40,3,80,429,3,205.38614651,28.36179746,21.924149,20.823397,20.360714,20.211655,20.106855,0.243594,0.03503,0.033862,0.045525,0.172082
587739707405762990,4646,40,3,80,430,6,205.38512909,28.35856658,24.156271,21.6728,21.255133,20.992725,21.201496,1.025716,0.05671,0.056216,0.068634,0.336311
587739707405762991,4646,40,3,80,431,6,205.38732054,28.36457686,24.260658,22.415993,21.591469,21.200272,20.918684,1.038967,0.101904,0.072547,0.079574,0.258609
587739707405762992,4646,40,3,80,432,6,205.38463006,28.36466269,24.641294,21.992779,21.390377,21.248608,21.279783,1.146713,0.073743,0.062771,0.085399,0.3617
